url,name,brand,price,rating,description
https://reviews.femaledaily.com/products/cleanser/toner/azarine-cosmetic/daily-beginner-exfoliating-toner-3,Daily Beginner Exfoliating Toner,Azarine Cosmetic,Rp. 69.000,4.2,"DESCRIPTION Smooth Flawless Clear Skin- Untuk semua jenis kulit terutama tekstur tidak rata dan bekas jerawat- Fokus untuk memudarkan bekas jerawat/ flek, meratakan kulit ( bruntusan / bopeng), kecilkan pori- Bisa untuk bumil, busui dan kulit sensitif"
https://reviews.femaledaily.com/products/cleanser/toner/whitelab/brightening-toner-1,Brightening Toner,Whitelab,N/A,4.7,"DESCRIPTION Whitelab Brightening Toner adalah toner yang bermanfaat untuk melembabkan, membersihkan kotoran, mengangkat minyak berlebih, dan menyegarkan kulit.How to use:Cuci muka dengan Facial Wash. Setelah itu, teteskan Whitelab Toner ke kapas dan oleskan ke wajah.Suitable for:Semua jenis kulitIngredients:- Niacinamide: Membantu mencerahkan kulit, menyamarkan noda gelap, dan membantu mengurangi minyak berlebih pada wajah- HyaluComplex-10: Kombinasi 10 molekul Hyaluron yang dapat meningkatkan dan mempertahankan level hidrasi pada lapisan kulit yang berbeda.- Marine Collagen: Merawat kehalusan dan kelembapan kulit"
https://reviews.femaledaily.com/products/cleanser/toner/pixi/glow-tonic,Glow Tonic,Pixi,Rp. 0,4.2,"DESCRIPTION Pixi Glow tonic adalah toner yang mengandung Ginseng & Fructose yang dapat digunakan pada semua jenis kulit, terutama pada kulit normal, kusam, kering, atau kulit menua. Toner ini dapat mengeksfoliasi dan mengencangkan kulit, serta mampu mengangkat sel kulit mati untuk mendapatkan kulit yang lebih sehat. Formulanya bebas alkohol.How To Use:Tuangkan toner pada kapas, lalu tepuk-tepukkan kapas pada wajah yang telah dibersihkanSuitable For:Semua jenis kulitIngredients: Aqua, Aloe Barbadensis Leaf Juice, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Glycolic Acid, Ammonium Glycolate, Glycerin, Glucose, Fructose, Sucrose, Urea, Dextrin, Alanine, Glutamic Acid, Hexyl Nicotinate, Panax Ginseng Root Extract, Phenoxyethanol, Sodium Benzoate, Biotin, Polysorbate 20, Fragrance."
https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/face-tonic-bengkuang,Face Tonic,Viva Cosmetics,Rp. 5.950,3.9,"DESCRIPTION Viva Cosmetics Face Tonic adalah penyegar wajah untuk kulit normal yang berfungsi membersihkan sisa-sisa susu pembersih. Penyegar ini dapat menyegarkan kulit, memperkecil tampilan pori-pori, dan menjaga pH kulit. Mengandung bahan alami ekstrak bengkuang untuk kulit wajah tampak lebih cerah dan ekstrak biji bunga matahari untuk merawat elastisitas kulit wajah. How To Use:Tuangkan Viva Face Tonic Bengkuang pada kapas secukupnya dan usapkan pada seluruh wajah. Gunakan setiap kali setelah penggunaan Viva Milk Cleanser.Suitable For:Kulit normalIngredients:-"
https://reviews.femaledaily.com/products/cleanser/toner/safi/white-expert-2-in-1-cleanser-and-toner,White Expert Purifying Cleanser 2 in 1 Cleanser & Toner,Safi,Rp. 54.000,4.0,"DESCRIPTION SAFI White Expert 2 in 1 Cleanser & Toner adalah pembersih wajah yang mengandung Ekstrak Habbatus Sauda dan Teknologi OxyWhite untuk membersihkan debu dan sisa make up secara seksama dengan scrub lembutnya. Kandungan Habbatus Sauda, Minyak Bunga Matahari, dan Vitamin E sebagai Antioksidan untuk membantu melindungi kulit dari paparan radikal bebas. Formulasi tanpa tambahan sabun membantu menjaga keseimbangan pH kulit. Kandungan Mentol memberikan sensasi menyegarkan pada kulit wajah.How To Use:Pompa dan keluarkan secukupnya ke telapak tangan dan pijat dengan lembut pada wajah dengan gerakan memutar lalu bilas dengan air."
https://reviews.femaledaily.com/products/cleanser/toner/the-body-shop/tea-tree-toner-22,Tea Tree Skin Clearing Toner,The Body Shop,Rp. 159.000,3.6,"DESCRIPTION The Body Shop Tea Tree Toner merupakan toner penyegar untuk kulit berjerawat (blemished skin) dan memberikan hasil kulit yang matte dan berseri. Dapat digunakan untuk menghilangkan sisa make up, pembersih, dan kotoran. Terbukti secara klinis memberikan kulit yang terlihat lebih bersih.How To Use :Gunakan setelah memakai pembersih dan pelembab. Kocok dahulu untuk mengaktifkan bubuk matte dan tuangkan pada kapas bersih secukupnya. Sapukan pada wajah dan leher.Suitable For :Kulit berjerawat.Ingredients :Aqua (Solvent/Diluent), Alcohol Denat. (Solvent/Diluent), Corn Starch Modified (Skin Conditioning Agent), Caprylyl Glycol (Skin Conditioning Agent), PEG-40 Hydrogenated Castor Oil (Emulsifier), Glycerin (Humectant), Melaleuca Alternifolia Leaf Oil (Natural Additive), Salix Alba Bark Extract (Natural Additive), Allantoin (Skin Soothing Agent), Calophyllum Inophyllum Seed Oil (Skin Conditioning Agent), Limonene (Natural Additive), Hamamelis Virginiana Extract (Natural Additive), Sodium Hydroxide (pH Adjuster), t-Butyl Alcohol (Denaturant), Citral (Natural Additive), Leptospermum Petersonii Oil (Natural Additive), Denatonium Benzoate (Denaturant), Tocopherol (Antioxidant), Caramel (Colour), CI 19140 (Colour), CI 42090 (Colour)."
https://reviews.femaledaily.com/products/cleanser/toner/everwhite/everwhite-be-bright-48,Essence Toner,Everwhite,Rp. 68.000,4.8,"DESCRIPTION Everwhite Essence Toner merupakan perpaduan dari toner dengan essence multifungsi yang diperkaya dengan kandungan pencerah kulit yaitu Kefir, Collagen, Gluta, Arbutin dikombinasikan dengan Air Ekstrak Timun yang menyegarkan. Dapat mengangkat kotoran dan minyak berlebih dari wajah, menyamarkan pori-pori, mencerahkan, berperan sebagai anti-oksidan, serta dapat menutrisi dan melembapkan kuit.How to Use:Aplikasikan toner pada wajah secukupnya menggunakan kapas atau langsung menggunakan tangan.Suitable for:Semua jenis kulitIngredients:-"
https://reviews.femaledaily.com/products/cleanser/toner/hada-labo/arbutin-whitening-lotion-14,Shirojyun Ultimate Whitening Lotion,Hada Labo,Rp. 59.000,3.8,"DESCRIPTION Hada Labo Shirojyun Ultimate Whitening Lotion adalah lotion yang dapat menghidrasi sekaligus mencerahkan kulit secara sekejap, dan mencegah timbulnya noda hitam dari dalam kulit. Diperkaya dengan combine power dari natural Arbutin dan Vitamin C untuk mencerahkan dan membuat kulit terasa lembut. Kandungan Hyaluronic Acids menghidrasi ke dalam kulit untuk memelihara kulit, melawan noda hitam, dan mengembalikan cahaya alami kulit. Arbutin adalah kandungan alami ekstak dari bearberry, untuk mencegah tirosinase, enzim yang dapat membuat noda hitam. Vitamin C berfungsi untuk mencerahkan kulit dan komponen spesial untuk memproduksi kolagen dan sebagai antioksidan.How To Use:Aplikasikan lotion secara merata ke seluruh wajah dalam keadaan wajah bersihSuitable For:Kulit normal, kulit kusamIngredients:-"
https://reviews.femaledaily.com/products/cleanser/toner/skin1004/madagascar-centella-asiatica-toner,Madagascar Centella Asiatica Toner,Skin1004,Rp. 180.000,4.3,DESCRIPTION There's no description for this product.
https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/face-tonic-lemon,Face Tonic,Viva Cosmetics,Rp. 5.000,3.7,"DESCRIPTION Viva Cosmetics Face Tonic adalah penyegar wajah untuk kulit berminyak dan berjerawat yang berfungsi membersihkan sisa-sisa susu pembersih, menyegarkan kulit, memperkecilkan tampilan pori-pori, dan menjaga pH kulit. Kandungan ekstrak lemon pada penyegar ini berfungsi mengurangi kadar minyak sehingga membantu mencegah timbulnya jerawat.How To Use:Tuangkan Viva Face Tonic Lemon pada kapas secukupnya dan usapkan pada seluruh wajah. Gunakan setiap kali setelah penggunaan Viva Milk Cleanser atau Viva Queen Peelling Cream dan Viva Face Masker. Suitable For:Kulit berminyakIngredients:-"
