url,name,brand,price,rating,description
https://reviews.femaledaily.com/products/moisturizer/gel/skintific/5x-ceramide-barrier-repair-moisture-gel-moisturizer,5X Ceramide Barrier Repair Moisture Gel Moisturizer,Skintific,,4.6,"DESCRIPTION Menggabungkan 3 kandungan aktif Ceramide, Hyaluronic Acid, dan Centella Asiatica, untuk mengatasi permasalahan skin barrier yang rusak seperti jerawat, kemerahan, kulit bertekstur, dan juga kulit kering secara cepat namun tetap aman untuk skin barrier. Diperkaya dengan teknolog 5X Ceramide, yang merupakan gabungan 5 jenis Ceramide untuk melembabkan secara mendalam dan memperkuat lapisan kulit. 5X Ceramide ini membantu untuk memperbaiki dan melindungi skin barrier dengan menjaga kelembaban dan melindungi kulit dari faktor eksternal. Size：30gManfaat: ● Memperbaiki permasalahan skin barrier seperti jerawat, kemerahan, kulit kering, dan kulit bertekstur ● Melembabkan dan menghidrasi selama 24 jam ● Oil control selama 24 jam ● Melindungi skin barrier ● Memperkuat skin barrier ● Menenangkan dan melembutkan kulit"
https://reviews.femaledaily.com/products/moisturizer/gel/l-oreal-paris/loreal-paris-revitalift-crystal-gel-cream-1,Revitalift Crystal Gel Cream,L'Oreal Paris,Rp. 185.000,4.1,"DESCRIPTION L’oreal Paris Revitalift Crystal Gel Cream merupakan gel cream dengan formula oil-free dengan konsentrasi tertinggi clarifying Salicylic Acid, dalam bentuk gel yang ringan dan terasa segar, menyerap secara cepat. Melembapkan kulit, menyamarkan bekas jerawat, dan mengurangi produksi minyak berlebih untuk pori-pori tersamarkan, dan kulit tampak sebening kristal 8 jam bebas kilap. Clarifying Salicylic Acid, asam yang dapat larut dalam minyak, dikenal dapat menyerap lebih dalam ke dalam kulit berminyak dan sudah terbukti dapat menyamarkan tampilan pori, menghaluskan permukaan kulit dan mengontrol produksi sebum berlebih, membuatnya cocok untuk kulit kasar dan berminyak.How to use:Ratakan pada permukaan kulit dan leher setiap pagi, dapat digunakan sebelum riasan wajah.Suitable for:Semua jenis kulit, khususnya kulit normal, kulit kombinasi, dan kulit berminyakIngredients:AQUA / WATER, GLYCERIN, ALCOHOL DENAT., DIMETHICONE, ISONONYL ISONONANOATE, LINALOOL, CARBOMER, DIMETHICONOL, PARFUM / FRAGRANCE, SODIUM HYDROXIDE, SALICYLIC ACID, SODIUM HYALURONATE, PHENOXYETHANOL, CHLORPHENESIN, TOCOPHERYL ACETATE, LIMONENE CAPRYLYL GLYCOL, CAPRYLOYL SALICYLIC ACID, TETRASODIUM EDTA, CITRAL, BIOSACCHARIDE GUM-1, XANTHAN GUM, ACETYL TRIFLUOROMETHYLPHENYL VALYGLYCINE, MENTHOXYPROPANEDIOL, PSEUDOALTEROMONAS FERMENT EXTRACT, BENZYL SALICYLATE, BENZYL ALCOHOL. (F.I.L. C278148/1)"
https://reviews.femaledaily.com/products/moisturizer/gel/hada-labo/gokujyun-concentrate-3d-perfect-gel,Perfect 3D Gel,Hada Labo,Rp. 91.000,3.9,"DESCRIPTION Hada Labo Perfect 3D Gel Hada Labo Perfect 3D Gel merupakan solusi lengkap untuk mengatasi masalah kulit dengan 3 manfaat, yaitu Moisturizing, Whitening, dan Anti-Aging. Tekstur gel unik yang mampu kembali seperti semula ketika disentuh, mudah meresap dan bekerja lebih dalam pada kulit. Mengandung 4 tipe Hyaluronic Acid (Hyaluronic Acid, Improved Hyaluronic Acid, Nano Hyaluronic Acid, dan 3D Hyaluronic Acid), Arbutin, Vitamin B3, Yuzu Extract, dan Anti Aging Complex yang bermanfaat untuk mengunci kadar kelembaban pada kulit secara intensif, mencerahkan dan menyamarkan noda hitam pada kulit, sebagai anti oksidan, serta dapat mencegah tanda-tanda penuaan dini.How to Use:Aplikasikan pada area wajah dan leher secara merata. Disarankan penggunaan pada malam hari.Suitable for : Semua jenis kulitIngredients : Aqua (Water), Butylene Glycol, Arbutin, Niacinamide, PEG-240/HDI Copolymer Bis-Decyitetradeceth-20 Ether, Glycerin, Glycosyl Trehalose, Hexylglycerin, Phenoxyethanol, Disodium Succinate, Sodium Metabisulfite, Dextrin, Agrinine, Succinic Acid, Hydroxypropyltrimonium Hyaluronate, Citrus Junos Seed Extract, Hydrolyzed Hyaluronic Acid, Potassium Laurate, Tocopherol, Methylparaben, Sodium Hyaluronate, Sodium Acetylated Hyaluronate."
https://reviews.femaledaily.com/products/moisturizer/gel/wardah/nature-daily-witch-hazel-purifying-moisturizer-gel-1,Nature Daily Witch Hazel Purifying Moisturizer Gel,Wardah,Rp. 21.000,3.3,DESCRIPTION Wardah Nature Daily Witch Hazel Purifying Moisturizer Gel merupakan pelembap wajah dengan tekstur gel yang ringan dan cepat menyerap ke kulit. Dilengkapi dengan ekstrak Witch Hazel yang dapat membuat pori-pori terlihat lebih kecil dan Pro Vit B5 dan Vit E yang akan memberi kelembapan ekstra.How to Use:Aplikasikan ke seluruh wajah secara merata. Tepuk-tepuk wajah secara lembut agar formula dapat meresap secara sempurna.Suitable for:Kulit berminyakIngredients:-
https://reviews.femaledaily.com/products/moisturizer/gel/somethinc/ceramic-skin-saviour-moisturizer-gel-2,Ceramic Skin Saviour Moisturizer Gel,Somethinc,Rp. 299.000,3.9,"DESCRIPTION Reformulation in October 2022Somethinc Ceramic Skin Saviour Moisturizer Gel merupakan gel-cream moistirozer dengan 9 Powerful Clean Supercharged ingredients, yaitu Marine source Collage, Matrixyl®️ 3000, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Ceramide NP, Betaine, miniHA™️(Hydrolyzed Sodium Hyaluronate), Hydrolyzed Algae Extract (Brown Seaweed), Niacinamide, Oat, Caffeine yang dapat mengunci kelembaban wajah selama 18 jam. Aman digunakan oleh Ibu hamil dan anak berusia 11 tahun.Tersedia dalam ukuran:25 ml : Rp 169.00050 ml : Rp 299.000How to use:Oleskan pelembab secara merata ke seluruh wajah. Bisa digunakan setiap hari (malam dan siang)Suitable for:Semua jenis kulitIngredients:Water, Glycerin, Dimethicone, Betaine, Butylene Glycol, Niacinamide, Pentylene Glycol,Hydrolyzed Sodium Hyaluronate, Carbomer, Polyacrylamide, Macadamia Integrifolia Seed Oil, C13-14 Isoparaffin, Caprylyl Glycol, Aminomethyl Propanol, Allantoin, Ethylhexylglycerin, Ceramide NP, Phytosphingosine, Avena Sativa (Oat) Kernel Extract, Laureth-7, Avnthemis Nobilis Flower Extract, 1,2-Hexanediol, Hydrolyzed Algae Extract (Retired), Disodium EDTA, Polysorbate 20, Hydrolyzed Collagen, Caffeine, Magnesium Aspartate, Zinc Gluconate, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Phenoxyethanol, Copper Gluconate, Tocopherol."
https://reviews.femaledaily.com/products/body-wash/shower-gel-cream/scarlett/scarlett-whitening-shower-scrub,Brightening Shower Scrub,Scarlett,Rp. 75.000,4.2,DESCRIPTION There's no description for this product.
https://reviews.femaledaily.com/products/body-wash/shower-gel-cream/leivy/double-moisturising-shower-cream,Double Moisturising Shower Cream,Leivy,Rp. 80.000,4.3,"DESCRIPTION Leivy Double Moisturising Shower Cream merupakan sabun mandi dengan tekstur creamy Produk menjadikan kulit halus, mulus, wangi, dan tampak lebih putih. Produk ini diperkaya oleh susu kambing yang mengandung vitamin A, B, dan E, protein yang dapat menyuburkan dan melembabkan kulit serta mencerahkan kulit.How to Use:Aplikasikan pada tubuh dengan menggunakan spons. Setelah itu, bilas hingga bersih.Suitable for:Kulit kering.Ingredients:Deionised Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Cocamide DEA, Perfume, Glycol Stearate, Glycerine, Polyquaternium-39, PEG-7 Glyceryl Cocoate, Sodium Chloride, PEG-120 Methyl Glucose Dioleate, Citric Acid, Goat's Milk Powder, Sodium PCA, Aloe Vera Powder, Tocopheryl Acetate, Tetrasodium EDTA, Methylisothiazolinone, Methylchloroisothiazolinone."
https://reviews.femaledaily.com/products/body-wash/shower-gel-cream/dove/body-wash-deeply-nourishing,Deeply Nourishing Body Wash,Dove,Rp. 34.900,4.4,"DESCRIPTION Dove Deeply Nourishing Body Wash adalah sabun mandi kaya akan busa yang dapat membuat kulit terasa lebih halus dan lembut hanya dalam satu kali pemakaian. Kandungan Nutrium Moisture nya menutrisi hingga ke lapisan dalam kulit untuk merawat kecantikan kulit dari dalam. Dengan keharuman baru yang lembut dan tahan lama. How To Use:Aplikasikan sabun mandi ke seluruh tubuh dalam keadaan basah, gosok dan pijat-pijat ringan kulit tubuh, lalu bilas dengan air bersihSuitable For:Semua jenis kulitIngredients:-"
https://reviews.femaledaily.com/products/moisturizer/gel/neutrogena/hydro-boost-water-gel-with-progressive-release-system-5,Hydro Boost Hyaluronic Acid Water Gel,Neutrogena,Rp. 229.000,4.4,"DESCRIPTION Reformulation in January 2023NEUTROGENA® Hydro Boost Hyaluronic Acid Water Gel dilengkapi Natural Moisturizing Factor (NMF) Complex: Hyaluronic Acid, Amino Acids, Electrolytes yang menyerupai pelembap alami kulit untuk menjaga kekuatan skin barrier, menjaga vitalitas kulit, menghidrasi 5x lebih banyak agar kulit terasa lembut, kencang, kenyal, dan bercahayaHow to Use:Gunakan pada pagi dan malam hari, atau kapanpun saat kulit membutuhkan ekstra hidrasi. Oleskan dan pijat pada wajah dan leher.Suitable for:Kulit kering, kulit normal, kulit kombinasi.Ingredients:Water, Glycerin, Dimethicone, Cetearyl Olivate, Sorbitan Olivate, Polyacrylate Crosspolymer-6, Betaine, Caprylyl Glycol, Synthetic Beeswax, Ethylhexylglycerin, Pentylene Glycol, Sodium PCA, Fructose, Dimethicone Crosspolymer, Sodium Hyaluronate, Dimethiconol, Sodium Lactate, Urea, Citric Acid, PCA, Fragrance, Sodium Hydroxide, Maltose, Serine, Alanine, Glycine, Sodium Chloride, Trehalose, Allantoin, Glutamic Acid, Lysine HCl, Threonine, Arginine, Glucose, Proline, CI 42090."
https://reviews.femaledaily.com/products/body-wash/shower-gel-cream/biore/body-foam,Body Foam,Biore,Rp. 18.000,4.1,"DESCRIPTION Biore Body Foam Relaxing Aromatic adalah sabun mandi bertesktur cair dengan aroma bunga melati yang dapat memberikan sensasi relaksasi setiap saat mandi. Sabun ini dapat membuat nyaman serta penuh dengan sensasi yang menenangkan ketika busa lembutnya masuk kedalam kulit. How To Use:Gunakan sabun mandi ke seluruh tubuh yang telah dibasahi air, ratakan dan berikat pijatan ringan, lalu bilas dengan air bersihSuitable For:Semua jenis kulitIngredients:-"
