url,name,brand,price,rating,description,reviews
https://reviews.femaledaily.com/products/cleanser/toner/hada-labo/gokujyun-ultimate-moisturizing-lotion,Gokujyun Ultimate Moisturizing Lotion,Hada Labo,,,,[]
https://reviews.femaledaily.com/products/cleanser/toner/some-by-mi/aha-bha-pha-30-days-miracle-toner,AHA BHA PHA 30 Days Miracle Toner,Some by Mi,,,,[]
https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/air-mawar,Air Mawar,Viva Cosmetics,Rp. 4.800,4.1,"DESCRIPTION
Viva Cosmetics Air Mawar mengandung sari bunga mawar dan aroma bunga mawar yang biasa digunakan sebagai campuran bubuk masker dan lulur. Aromanya dapat menenangkan kulit wajah. Kemasannya praktis dan higienis sehingga mudah dibawa.How To Use:Gunakan Viva Air Mawar sebagai campuran masker atau lulur.Suitable For:Semua jenis kulitIngredients:-",[]
https://reviews.femaledaily.com/products/cleanser/facial-wash/cetaphil/gentle-skin-cleanser,Gentle Skin Cleanser,Cetaphil,,,,[]
https://reviews.femaledaily.com/products/cleanser/facial-wash/senka/perfect-whip-facial-foam,Perfect Whip Facial Foam,Senka,,,,[]
https://reviews.femaledaily.com/products/cleanser/facial-wash/acnes/creamy-wash,Creamy Wash,Acnes,Rp. 29.000,3.7,"DESCRIPTION
Acnes Creamy Wash adalah sabun pembersih wajah bertekstur krim yang bekerja melawan bakteri penyebab jerawat. Krim pembersih wajah ini mengandung Vitamin E dan C yang berperan sebagai antioksidan untuk melindungi kulit wajah dari radikal bebas dan menjadikan wajah lebih lembut. Dapat juga mengurangi kemerahan pada wajah efek bekas jerawat. Minyak berlebih dan kotoran yang menutupi pori-pori juga dapat dibersihkan secara menyeluruh.How To Use:Basahi wajah dengan air, aplikasikan sabun pada wajah. Usapkan hingga berbusa, lalu bilas dengan air bersih.Suitable For:Kulit berjerawatIngredients:Water, glycerine, laurtyl hydroxy sulfobetain, butylene glycol, polyethylene glycol monostearate, laurci acid, CI 77288, palmitic acid, potassium hydroxide, olive (olea europea) oil, myristic acid, lauric acid diethanolamide, potassium lauroyl glytamate, potassium chloride, ethanol, sodium hydroxide, fragrance, tocopheryl acetate, saxifraga sarmentosa extract, dipotassium glychrrizinate, o-cymen-5-ol (isopropylmethylphenol), CI 77491, CI 77492, lactic acid, magnesium ascorbyl phosphate. Diproduksi oleh PT Rohto Laboratories Indonesia. BPOM RI CA 18091209459",[]
